geoid,tract_name,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle
17031051100,Census Tract 511; Cook County; Illinois,737,32,442,231,15,0.04341926729986431,0.5997286295793759,0.31343283582089554,0.0203527815468114
17031051200,Census Tract 512; Cook County; Illinois,645,111,347,187,0,0.17209302325581396,0.537984496124031,0.289922480620155,0.0
17031051300,Census Tract 513; Cook County; Illinois,1105,83,586,397,39,0.0751131221719457,0.530316742081448,0.3592760180995475,0.03529411764705882
17031051400,Census Tract 514; Cook County; Illinois,1062,164,570,313,15,0.1544256120527307,0.536723163841808,0.2947269303201507,0.014124293785310734
17031060100,Census Tract 601; Cook County; Illinois,1283,268,621,310,84,0.2088854247856586,0.48402182385035075,0.24162120031176929,0.06547155105222136
17031060200,Census Tract 602; Cook County; Illinois,1196,252,749,129,47,0.21070234113712374,0.6262541806020067,0.10785953177257525,0.039297658862876256
17031060300,Census Tract 603; Cook County; Illinois,1217,345,686,159,20,0.28348397699260475,0.5636811832374692,0.1306491372226787,0.016433853738701727
17031060400,Census Tract 604; Cook County; Illinois,1560,415,791,352,2,0.266025641025641,0.507051282051282,0.22564102564102564,0.001282051282051282
17031060500,Census Tract 605; Cook County; Illinois,679,330,295,40,14,0.48600883652430044,0.43446244477172313,0.05891016200294551,0.020618556701030927
17031060800,Census Tract 608; Cook County; Illinois,3686,1372,2008,255,51,0.37221920781334783,0.5447639717851329,0.06918068366793272,0.013836136733586543
17031060900,Census Tract 609; Cook County; Illinois,4886,2117,2491,278,0,0.43327875562832585,0.5098239869013508,0.05689725747032337,0.0
17031061000,Census Tract 610; Cook County; Illinois,1092,386,548,127,31,0.3534798534798535,0.5018315018315018,0.1163003663003663,0.028388278388278388
17031061100,Census Tract 611; Cook County; Illinois,739,273,339,108,19,0.36941813261163736,0.4587280108254398,0.14614343707713126,0.02571041948579161
17031061200,Census Tract 612; Cook County; Illinois,867,264,299,227,59,0.3044982698961938,0.34486735870818913,0.2618223760092272,0.06805074971164937
17031061500,Census Tract 615; Cook County; Illinois,901,214,462,205,20,0.23751387347391786,0.5127635960044395,0.22752497225305215,0.022197558268590455
17031061800,Census Tract 618; Cook County; Illinois,745,446,247,39,13,0.5986577181208054,0.3315436241610738,0.052348993288590606,0.0174496644295302
17031061901,Census Tract 619.01; Cook County; Illinois,2643,1836,710,97,0,0.6946651532349603,0.2686341278849792,0.03670071888006054,0.0
17031061902,Census Tract 619.02; Cook County; Illinois,2899,1387,1312,171,29,0.4784408416695412,0.4525698516729907,0.05898585719213522,0.010003449465332874
17031062000,Census Tract 620; Cook County; Illinois,1753,835,788,109,21,0.47632629777524244,0.4495151169423845,0.06217912150598973,0.011979463776383342
17031062100,Census Tract 621; Cook County; Illinois,2091,1059,734,220,24,0.5064562410329986,0.3510282161645146,0.10521281683405069,0.011477761836441894
17031062200,Census Tract 622; Cook County; Illinois,1381,257,866,229,29,0.18609703113685735,0.6270818247646633,0.165821868211441,0.020999275887038378
17031062300,Census Tract 623; Cook County; Illinois,586,99,330,118,39,0.1689419795221843,0.5631399317406144,0.20136518771331058,0.06655290102389079
17031062400,Census Tract 624; Cook County; Illinois,772,210,435,117,10,0.27202072538860106,0.5634715025906736,0.15155440414507773,0.012953367875647668
17031062500,Census Tract 625; Cook County; Illinois,681,133,419,129,0,0.19530102790014683,0.6152716593245228,0.1894273127753304,0.0
17031062600,Census Tract 626; Cook County; Illinois,930,111,517,282,14,0.11935483870967742,0.5559139784946237,0.3032258064516129,0.015053763440860216
17031062700,Census Tract 627; Cook County; Illinois,1400,383,626,295,85,0.2735714285714286,0.4471428571428571,0.21071428571428572,0.060714285714285714
17031062800,Census Tract 628; Cook County; Illinois,1553,220,855,429,49,0.14166130070830651,0.5505473277527366,0.2762395363811977,0.031551835157759174
17031062900,Census Tract 629; Cook County; Illinois,1964,405,1006,530,23,0.20621181262729124,0.5122199592668024,0.269857433808554,0.011710794297352342
17031063000,Census Tract 630; Cook County; Illinois,1784,751,838,144,51,0.42096412556053814,0.4697309417040359,0.08071748878923767,0.02858744394618834
17031063100,Census Tract 631; Cook County; Illinois,1407,833,475,85,0,0.5920398009950248,0.33759772565742713,0.06041222459132907,0.0
17031063200,Census Tract 632; Cook County; Illinois,4590,2611,1464,453,62,0.5688453159041394,0.31895424836601305,0.09869281045751634,0.013507625272331155
17031063301,Census Tract 633.01; Cook County; Illinois,2021,1321,593,107,0,0.6536368134586839,0.293419099455715,0.05294408708560119,0.0
17031063302,Census Tract 633.02; Cook County; Illinois,2856,1546,1037,251,22,0.5413165266106442,0.3630952380952381,0.08788515406162464,0.007703081232492998
17031063303,Census Tract 633.03; Cook County; Illinois,919,469,402,39,0,0.5103373231773667,0.43743199129488575,0.042437431991294884,0.0
17031063400,Census Tract 634; Cook County; Illinois,1348,542,691,106,9,0.4020771513353116,0.5126112759643917,0.07863501483679525,0.0066765578635014835
17031070101,Census Tract 701.01; Cook County; Illinois,2656,1287,1163,206,0,0.48456325301204817,0.4378765060240964,0.07756024096385543,0.0
17031070102,Census Tract 701.02; Cook County; Illinois,1914,852,817,150,85,0.445141065830721,0.4268547544409613,0.07836990595611286,0.044409613375130615
17031070103,Census Tract 701.03; Cook County; Illinois,1133,755,352,26,0,0.6663724624889673,0.3106796116504854,0.02294792586054722,0.0
17031070200,Census Tract 702; Cook County; Illinois,2102,743,1110,214,15,0.35347288296860135,0.5280685061845861,0.10180780209324453,0.007136060894386299
17031070300,Census Tract 703; Cook County; Illinois,1663,575,943,129,8,0.3457606734816597,0.5670475045099218,0.07757065544197234,0.004810583283223091
17031070400,Census Tract 704; Cook County; Illinois,1469,422,654,341,9,0.28727025187202176,0.4452008168822328,0.23213070115724982,0.006126616746085773
17031070500,Census Tract 705; Cook County; Illinois,1318,294,579,351,82,0.22306525037936267,0.4393019726858877,0.26631259484066766,0.0622154779969651
17031070600,Census Tract 706; Cook County; Illinois,1291,122,595,445,106,0.09450038729666925,0.4608830364058869,0.3446940356312936,0.08210689388071263
17031070700,Census Tract 707; Cook County; Illinois,1740,323,903,485,29,0.18563218390804598,0.5189655172413793,0.27873563218390807,0.016666666666666666
17031071000,Census Tract 710; Cook County; Illinois,1043,230,481,315,17,0.22051773729626079,0.46116970278044106,0.30201342281879195,0.016299137104506232
17031071100,Census Tract 711; Cook County; Illinois,1131,364,564,192,11,0.3218390804597701,0.4986737400530504,0.16976127320954906,0.009725906277630416
17031071200,Census Tract 712; Cook County; Illinois,1268,418,687,144,19,0.32965299684542587,0.5417981072555205,0.11356466876971609,0.01498422712933754
17031071300,Census Tract 713; Cook County; Illinois,2113,662,1163,226,62,0.31329862754377663,0.5504022716516801,0.1069569332702319,0.029342167534311406
17031071400,Census Tract 714; Cook County; Illinois,2796,1050,1592,142,12,0.37553648068669526,0.5693848354792561,0.05078683834048641,0.004291845493562232
17031071500,Census Tract 715; Cook County; Illinois,3808,1492,1949,313,39,0.3918067226890756,0.5118172268907563,0.0821953781512605,0.010241596638655462
17031071600,Census Tract 716; Cook County; Illinois,733,111,413,160,49,0.15143246930422918,0.5634379263301501,0.21828103683492497,0.06684856753069578
17031071700,Census Tract 717; Cook County; Illinois,663,97,345,191,21,0.14630467571644043,0.5203619909502263,0.28808446455505277,0.03167420814479638
17031071800,Census Tract 718; Cook County; Illinois,1090,199,432,439,20,0.18256880733944955,0.3963302752293578,0.40275229357798165,0.01834862385321101
17031080100,Census Tract 801; Cook County; Illinois,4314,1722,2118,387,37,0.3991655076495132,0.4909596662030598,0.08970792767732963,0.008576726935558646
17031080201,Census Tract 802.01; Cook County; Illinois,2362,978,1157,122,89,0.4140558848433531,0.4898391193903472,0.05165114309906858,0.03767993226079593
17031080202,Census Tract 802.02; Cook County; Illinois,2838,1641,1146,51,0,0.5782241014799154,0.40380549682875266,0.017970401691331923,0.0
17031080300,Census Tract 803; Cook County; Illinois,3238,1036,1682,472,48,0.3199505867819642,0.5194564546016059,0.1457689932056825,0.014823965410747375
17031080400,Census Tract 804; Cook County; Illinois,2273,963,1158,62,90,0.4236691597008359,0.5094588649362076,0.027276726792784867,0.039595248570171576
17031081000,Census Tract 810; Cook County; Illinois,5415,3648,1628,139,0,0.6736842105263158,0.30064635272391504,0.02566943674976916,0.0
17031081100,Census Tract 811; Cook County; Illinois,2809,1506,1101,187,15,0.5361338554645781,0.3919544321822713,0.06657173371306514,0.00533997864008544
17031081201,Census Tract 812.01; Cook County; Illinois,2948,1511,1208,176,22,0.512550881953867,0.4097693351424695,0.05970149253731343,0.007462686567164179
17031081202,Census Tract 812.02; Cook County; Illinois,2094,519,1425,124,26,0.24785100286532952,0.6805157593123209,0.05921680993314231,0.012416427889207259
17031081300,Census Tract 813; Cook County; Illinois,3853,1791,1726,261,20,0.46483259797560345,0.44796262652478586,0.06773942382559045,0.005190760446405399
17031081401,Census Tract 814.01; Cook County; Illinois,1530,837,652,41,0,0.5470588235294118,0.4261437908496732,0.02679738562091503,0.0
17031081402,Census Tract 814.02; Cook County; Illinois,3594,1229,2040,286,14,0.3419588202559822,0.5676126878130217,0.07957707289927657,0.0038953811908736783
17031081403,Census Tract 814.03; Cook County; Illinois,6501,3823,2446,232,0,0.5880633748654053,0.37624980772188893,0.03568681741270574,0.0
17031081500,Census Tract 815; Cook County; Illinois,3447,1470,1588,339,17,0.42645778938207135,0.46069045546852333,0.09834638816362054,0.004931824775166811
17031081600,Census Tract 816; Cook County; Illinois,2742,1583,1004,155,0,0.5773158278628738,0.3661560904449307,0.056528081692195475,0.0
17031081700,Census Tract 817; Cook County; Illinois,3719,2271,1274,155,19,0.6106480236622748,0.3425652057004571,0.04167787039526755,0.005108900242000538
17031081800,Census Tract 818; Cook County; Illinois,7700,2528,4295,802,45,0.32831168831168833,0.5577922077922078,0.10415584415584415,0.005844155844155844
17031081900,Census Tract 819; Cook County; Illinois,705,160,470,75,0,0.22695035460992907,0.6666666666666666,0.10638297872340426,0.0
17031090100,Census Tract 901; Cook County; Illinois,1427,44,492,519,337,0.030833917309039945,0.3447792571829012,0.36370007007708477,0.23615977575332867
17031090200,Census Tract 902; Cook County; Illinois,2648,217,833,1269,314,0.08194864048338368,0.3145770392749245,0.4792296072507553,0.11858006042296072
17031090300,Census Tract 903; Cook County; Illinois,523,16,179,179,125,0.030592734225621414,0.3422562141491396,0.3422562141491396,0.2390057361376673
17031100100,Census Tract 1001; Cook County; Illinois,2134,0,761,1167,186,0.0,0.35660731021555764,0.5468603561387066,0.08716026241799438
17031100200,Census Tract 1002; Cook County; Illinois,2830,154,1141,1200,291,0.05441696113074205,0.4031802120141343,0.42402826855123676,0.10282685512367491
17031100300,Census Tract 1003; Cook County; Illinois,2694,659,865,768,370,0.24461766889383815,0.32108389012620636,0.28507795100222716,0.13734224201930215
17031100400,Census Tract 1004; Cook County; Illinois,1267,99,300,687,142,0.07813733228097869,0.23677979479084452,0.5422257300710339,0.11207576953433307
