geoid,tract_name,median_income
17031251200,Census Tract 2512; Cook County; Illinois,64309.0
17031251300,Census Tract 2513; Cook County; Illinois,42182.0
17031251400,Census Tract 2514; Cook County; Illinois,21049.0
17031251500,Census Tract 2515; Cook County; Illinois,47491.0
17031251600,Census Tract 2516; Cook County; Illinois,34332.0
17031251700,Census Tract 2517; Cook County; Illinois,57037.0
17031251800,Census Tract 2518; Cook County; Illinois,36681.0
17031251900,Census Tract 2519; Cook County; Illinois,35047.0
17031252000,Census Tract 2520; Cook County; Illinois,30103.0
17031252101,Census Tract 2521.01; Cook County; Illinois,50139.0
17031252102,Census Tract 2521.02; Cook County; Illinois,51992.0
17031252201,Census Tract 2522.01; Cook County; Illinois,45458.0
17031252202,Census Tract 2522.02; Cook County; Illinois,45839.0
17031260100,Census Tract 2601; Cook County; Illinois,21875.0
17031260200,Census Tract 2602; Cook County; Illinois,51125.0
17031260300,Census Tract 2603; Cook County; Illinois,
17031260400,Census Tract 2604; Cook County; Illinois,13489.0
17031260500,Census Tract 2605; Cook County; Illinois,40991.0
17031260600,Census Tract 2606; Cook County; Illinois,42875.0
17031260700,Census Tract 2607; Cook County; Illinois,46167.0
17031260800,Census Tract 2608; Cook County; Illinois,36681.0
17031260900,Census Tract 2609; Cook County; Illinois,20841.0
17031261000,Census Tract 2610; Cook County; Illinois,48482.0
17031270500,Census Tract 2705; Cook County; Illinois,24375.0
17031271200,Census Tract 2712; Cook County; Illinois,31048.0
17031271300,Census Tract 2713; Cook County; Illinois,45046.0
17031271400,Census Tract 2714; Cook County; Illinois,43355.0
17031271500,Census Tract 2715; Cook County; Illinois,50926.0
17031271800,Census Tract 2718; Cook County; Illinois,51550.0
17031280100,Census Tract 2801; Cook County; Illinois,148319.0
17031280400,Census Tract 2804; Cook County; Illinois,36681.0
17031280800,Census Tract 2808; Cook County; Illinois,31500.0
17031280900,Census Tract 2809; Cook County; Illinois,
17031281900,Census Tract 2819; Cook County; Illinois,125918.0
17031282700,Census Tract 2827; Cook County; Illinois,88646.0
17031282800,Census Tract 2828; Cook County; Illinois,85000.0
17031283100,Census Tract 2831; Cook County; Illinois,61806.0
17031283200,Census Tract 2832; Cook County; Illinois,64223.0
17031283800,Census Tract 2838; Cook County; Illinois,86103.0
17031290900,Census Tract 2909; Cook County; Illinois,46189.0
17031291200,Census Tract 2912; Cook County; Illinois,24555.0
17031291600,Census Tract 2916; Cook County; Illinois,125050.0
17031292200,Census Tract 2922; Cook County; Illinois,37028.0
17031292400,Census Tract 2924; Cook County; Illinois,40152.0
17031292500,Census Tract 2925; Cook County; Illinois,54968.0
17031300500,Census Tract 3005; Cook County; Illinois,76023.0
17031300600,Census Tract 3006; Cook County; Illinois,51092.0
17031300700,Census Tract 3007; Cook County; Illinois,49206.0
17031300800,Census Tract 3008; Cook County; Illinois,31161.0
17031300900,Census Tract 3009; Cook County; Illinois,34259.0
17031301100,Census Tract 3011; Cook County; Illinois,44598.0
17031301200,Census Tract 3012; Cook County; Illinois,53654.0
17031301600,Census Tract 3016; Cook County; Illinois,30158.0
17031301701,Census Tract 3017.01; Cook County; Illinois,56460.0
17031301702,Census Tract 3017.02; Cook County; Illinois,69000.0
17031301801,Census Tract 3018.01; Cook County; Illinois,48944.0
17031301802,Census Tract 3018.02; Cook County; Illinois,25513.0
17031301803,Census Tract 3018.03; Cook County; Illinois,59213.0
17031310200,Census Tract 3102; Cook County; Illinois,122422.0
17031310300,Census Tract 3103; Cook County; Illinois,75605.0
17031310400,Census Tract 3104; Cook County; Illinois,80786.0
17031310500,Census Tract 3105; Cook County; Illinois,52344.0
17031310600,Census Tract 3106; Cook County; Illinois,75604.0
17031310700,Census Tract 3107; Cook County; Illinois,72684.0
17031310800,Census Tract 3108; Cook County; Illinois,72059.0
17031310900,Census Tract 3109; Cook County; Illinois,76758.0
17031320101,Census Tract 3201.01; Cook County; Illinois,129221.0
17031320102,Census Tract 3201.02; Cook County; Illinois,109211.0
17031320400,Census Tract 3204; Cook County; Illinois,137917.0
17031320600,Census Tract 3206; Cook County; Illinois,117847.0
17031330101,Census Tract 3301.01; Cook County; Illinois,181013.0
17031330102,Census Tract 3301.02; Cook County; Illinois,110464.0
17031330103,Census Tract 3301.03; Cook County; Illinois,122957.0
17031330200,Census Tract 3302; Cook County; Illinois,140556.0
17031340300,Census Tract 3403; Cook County; Illinois,50543.0
17031340400,Census Tract 3404; Cook County; Illinois,41125.0
17031340500,Census Tract 3405; Cook County; Illinois,61018.0
17031340600,Census Tract 3406; Cook County; Illinois,20588.0
17031350100,Census Tract 3501; Cook County; Illinois,65000.0
17031350400,Census Tract 3504; Cook County; Illinois,20938.0
17031351000,Census Tract 3510; Cook County; Illinois,61347.0
17031351100,Census Tract 3511; Cook County; Illinois,19913.0
17031351400,Census Tract 3514; Cook County; Illinois,30542.0
17031351500,Census Tract 3515; Cook County; Illinois,65938.0
17031360200,Census Tract 3602; Cook County; Illinois,28456.0
17031380100,Census Tract 3801; Cook County; Illinois,79734.0
17031380200,Census Tract 3802; Cook County; Illinois,18690.0
17031380600,Census Tract 3806; Cook County; Illinois,35804.0
17031381200,Census Tract 3812; Cook County; Illinois,53750.0
17031381400,Census Tract 3814; Cook County; Illinois,44399.0
17031381500,Census Tract 3815; Cook County; Illinois,25019.0
17031381700,Census Tract 3817; Cook County; Illinois,
17031381800,Census Tract 3818; Cook County; Illinois,49671.0
17031381900,Census Tract 3819; Cook County; Illinois,65506.0
17031390100,Census Tract 3901; Cook County; Illinois,
17031390200,Census Tract 3902; Cook County; Illinois,109868.0
17031390300,Census Tract 3903; Cook County; Illinois,35266.0
17031390400,Census Tract 3904; Cook County; Illinois,31833.0
17031390500,Census Tract 3905; Cook County; Illinois,62188.0
17031390600,Census Tract 3906; Cook County; Illinois,94115.0
17031390700,Census Tract 3907; Cook County; Illinois,67610.0
17031400300,Census Tract 4003; Cook County; Illinois,71288.0
17031400400,Census Tract 4004; Cook County; Illinois,40029.0
17031400500,Census Tract 4005; Cook County; Illinois,24659.0
17031400800,Census Tract 4008; Cook County; Illinois,22648.0
17031410100,Census Tract 4101; Cook County; Illinois,58667.0
17031410200,Census Tract 4102; Cook County; Illinois,62591.0
17031410500,Census Tract 4105; Cook County; Illinois,73041.0
17031410600,Census Tract 4106; Cook County; Illinois,48071.0
17031410700,Census Tract 4107; Cook County; Illinois,57000.0
17031410800,Census Tract 4108; Cook County; Illinois,63091.0
17031410900,Census Tract 4109; Cook County; Illinois,75562.0
17031411000,Census Tract 4110; Cook County; Illinois,69014.0
17031411100,Census Tract 4111; Cook County; Illinois,123611.0
17031411200,Census Tract 4112; Cook County; Illinois,93958.0
17031420100,Census Tract 4201; Cook County; Illinois,22215.0
17031420200,Census Tract 4202; Cook County; Illinois,39688.0
17031420300,Census Tract 4203; Cook County; Illinois,42881.0
17031420400,Census Tract 4204; Cook County; Illinois,38605.0
17031420500,Census Tract 4205; Cook County; Illinois,22432.0
17031420600,Census Tract 4206; Cook County; Illinois,43063.0
17031420700,Census Tract 4207; Cook County; Illinois,28605.0
17031420800,Census Tract 4208; Cook County; Illinois,56357.0
17031421200,Census Tract 4212; Cook County; Illinois,45972.0
17031430101,Census Tract 4301.01; Cook County; Illinois,37917.0
17031430102,Census Tract 4301.02; Cook County; Illinois,49672.0
17031430200,Census Tract 4302; Cook County; Illinois,34072.0
17031430300,Census Tract 4303; Cook County; Illinois,53807.0
17031430400,Census Tract 4304; Cook County; Illinois,38034.0
17031430500,Census Tract 4305; Cook County; Illinois,36310.0
17031430600,Census Tract 4306; Cook County; Illinois,42487.0
17031430700,Census Tract 4307; Cook County; Illinois,37983.0
17031430800,Census Tract 4308; Cook County; Illinois,47625.0
17031430900,Census Tract 4309; Cook County; Illinois,31357.0
17031431200,Census Tract 4312; Cook County; Illinois,60110.0
17031431301,Census Tract 4313.01; Cook County; Illinois,36496.0
17031431302,Census Tract 4313.02; Cook County; Illinois,31981.0
17031431400,Census Tract 4314; Cook County; Illinois,38438.0
