geoid,tract_name,median_income,workers_total,workers_car,workers_public,workers_walk,workers_other,workers_home,pct_car,pct_public,pct_walk,pct_other,pct_home,hh_total,hh_no_vehicle,hh_one_vehicle,hh_two_vehicle,hh_three_plus_vehicle,pct_hh_no_vehicle,pct_hh_one_vehicle,pct_hh_two_vehicle,pct_hh_three_plus_vehicle,mean_travel_time_min
17031031000,Census Tract 310; Cook County; Illinois,117114.0,2883,1268,511,42,60,979,0.4398196323274367,0.1772459243843218,0.0145681581685744,0.0208116545265348,0.3395768296912937,2073,522,1077,444,30,0.2518089725036179,0.5195369030390738,0.2141823444283647,0.0144717800289435,31.73333333333333
17031031100,Census Tract 311; Cook County; Illinois,83352.0,3649,1253,1156,103,227,784,0.3433817484242258,0.3167991230474102,0.0282269114825979,0.0622088243354343,0.214853384488901,2948,1347,1455,146,0,0.4569199457259159,0.4935549525101764,0.0495251017639077,0.0,47.75
17031031200,Census Tract 312; Cook County; Illinois,27869.0,3108,936,1204,42,414,495,0.3011583011583011,0.3873873873873873,0.0135135135135135,0.1332046332046332,0.1592664092664092,3519,2110,1263,125,0,0.5996021597044615,0.3589087809036658,0.0355214549587951,0.0,43.55
17031031300,Census Tract 313; Cook County; Illinois,65617.0,3609,1477,1062,103,79,848,0.4092546411748406,0.2942643391521197,0.028539761706844,0.0218897201440842,0.2349681352175117,4459,1461,2366,603,21,0.3276519398968378,0.5306122448979592,0.1352321148239515,0.0047095761381475,46.016666666666666
17031031400,Census Tract 314; Cook County; Illinois,87500.0,3576,1202,1278,57,142,824,0.3361297539149888,0.3573825503355705,0.0159395973154362,0.0397091722595078,0.2304250559284116,3182,1353,1493,336,0,0.4252042740414833,0.4692017598994343,0.1055939660590823,0.0,45.86666666666667
17031031501,Census Tract 315.01; Cook County; Illinois,51731.0,2320,955,701,77,177,356,0.4116379310344827,0.3021551724137931,0.0331896551724137,0.0762931034482758,0.1534482758620689,2084,632,1181,217,54,0.3032629558541266,0.5666986564299424,0.1041266794625719,0.0259117082533589,32.733333333333334
17031031502,Census Tract 315.02; Cook County; Illinois,47674.0,2464,677,845,94,128,706,0.2747564935064935,0.3429383116883117,0.0381493506493506,0.0519480519480519,0.286525974025974,2516,1471,913,115,17,0.584658187599364,0.3628775834658188,0.0457074721780604,0.0067567567567567,29.3
17031031700,Census Tract 317; Cook County; Illinois,82774.0,4766,1879,1311,152,280,1078,0.3942509441879983,0.2750734368443139,0.0318925723877465,0.058749475451112,0.2261854804867813,3187,970,1780,233,61,0.3043614684656416,0.5585189833699404,0.0731095073737056,0.019140257295262,61.46666666666667
17031031800,Census Tract 318; Cook County; Illinois,86159.0,1299,414,352,42,57,423,0.3187066974595843,0.270977675134719,0.0323325635103926,0.0438799076212471,0.325635103926097,983,229,561,173,20,0.2329603255340793,0.5707019328585962,0.1759918616480162,0.0203458799593082,14.6
17031031900,Census Tract 319; Cook County; Illinois,92208.0,1795,521,409,15,50,775,0.2902506963788301,0.2278551532033426,0.0083565459610027,0.0278551532033426,0.4317548746518105,1385,526,641,193,25,0.379783393501805,0.4628158844765343,0.1393501805054151,0.0180505415162454,17.0
17031032100,Census Tract 321; Cook County; Illinois,71804.0,4945,1251,1496,0,250,1778,0.2529828109201213,0.3025278058645096,0.0,0.0505561172901921,0.3595551061678463,4193,2004,1824,365,0,0.4779394228476031,0.4350107321726687,0.0870498449797281,0.0,52.78333333333333
17031040100,Census Tract 401; Cook County; Illinois,94318.0,2364,1130,449,44,70,633,0.4780033840947547,0.1899323181049069,0.0186125211505922,0.0296108291032148,0.2677664974619289,1924,351,1053,483,27,0.1824324324324324,0.5472972972972973,0.251039501039501,0.014033264033264,28.85
17031040201,Census Tract 402.01; Cook County; Illinois,103409.0,4537,2174,840,63,86,1262,0.479171258540886,0.1851443685254573,0.0138858276394093,0.0189552567776063,0.2781573727132466,3146,471,1737,729,178,0.1497139224411951,0.5521296884933249,0.2317228226319135,0.0565797838525111,54.583333333333336
17031040202,Census Tract 402.02; Cook County; Illinois,62500.0,3659,2027,766,58,88,633,0.5539764963104673,0.2093468160699644,0.0158513254987701,0.0240502869636512,0.1729980869089915,2954,860,1313,723,43,0.2911306702775897,0.444482058226134,0.2447528774542992,0.0145565335138794,50.43333333333333
17031040300,Census Tract 403; Cook County; Illinois,79896.0,1473,1019,159,30,56,171,0.691785471826205,0.1079429735234216,0.020366598778004,0.0380176510522742,0.1160896130346232,1163,112,692,296,63,0.0963026655202063,0.5950128976784179,0.2545141874462597,0.054170249355116,21.7
17031040401,Census Tract 404.01; Cook County; Illinois,103750.0,1951,795,364,61,152,558,0.407483341875961,0.1865709892362891,0.0312660174269605,0.0779087647360328,0.2860071758072783,1524,282,847,374,21,0.1850393700787401,0.5557742782152231,0.2454068241469816,0.0137795275590551,23.216666666666665
17031040402,Census Tract 404.02; Cook County; Illinois,94541.0,3212,1230,934,93,71,785,0.3829389788293897,0.2907845579078456,0.0289539227895392,0.022104607721046,0.2443960149439601,2494,469,1686,301,20,0.1880513231756214,0.6760224538893344,0.1206896551724138,0.008019246190858,40.45
17031040600,Census Tract 406; Cook County; Illinois,90921.0,1870,630,599,28,45,568,0.3368983957219251,0.3203208556149732,0.0149732620320855,0.0240641711229946,0.3037433155080214,1284,404,640,232,8,0.3146417445482866,0.4984423676012461,0.1806853582554517,0.0062305295950155,21.7
17031040700,Census Tract 407; Cook County; Illinois,109205.0,2339,763,743,88,90,636,0.3262077811030355,0.317657118426678,0.0376229157759726,0.0384779820436083,0.2719110731081658,1693,506,795,316,76,0.2988777318369758,0.4695806261075014,0.186650915534554,0.0448907265209687,28.383333333333333
17031040800,Census Tract 408; Cook County; Illinois,110179.0,1110,379,344,6,31,350,0.3414414414414414,0.3099099099099099,0.0054054054054054,0.0279279279279279,0.3153153153153153,769,107,462,176,24,0.1391417425227568,0.6007802340702211,0.2288686605981794,0.0312093628088426,12.666666666666666
17031040900,Census Tract 409; Cook County; Illinois,92167.0,1384,612,310,108,146,208,0.4421965317919075,0.2239884393063584,0.0780346820809248,0.1054913294797687,0.1502890173410404,1136,416,426,230,64,0.3661971830985915,0.375,0.2024647887323943,0.056338028169014,19.6
17031050100,Census Tract 501; Cook County; Illinois,114063.0,1667,578,342,41,74,619,0.3467306538692261,0.2051589682063587,0.0245950809838032,0.0443911217756448,0.3713257348530294,1156,301,536,285,34,0.2603806228373702,0.4636678200692041,0.2465397923875432,0.0294117647058823,17.466666666666665
17031050200,Census Tract 502; Cook County; Illinois,124167.0,2567,1130,474,25,63,797,0.440202571094663,0.1846513439813011,0.0097389949357226,0.024542267238021,0.3104791585508376,2126,402,952,668,39,0.1890874882408278,0.4477892756349953,0.3142050799623706,0.0183443085606773,29.5
17031050300,Census Tract 503; Cook County; Illinois,166681.0,1676,839,109,20,119,580,0.5005966587112172,0.065035799522673,0.0119331742243436,0.0710023866348448,0.3460620525059666,1091,81,591,339,66,0.074243813015582,0.541704857928506,0.3107241063244729,0.0604949587534372,18.266666666666666
17031050500,Census Tract 505; Cook County; Illinois,144250.0,2829,1085,406,72,59,1158,0.3835277483209615,0.1435136090491339,0.0254506892895015,0.0208554259455638,0.4093319194061506,1993,152,1032,712,90,0.0762669342699448,0.5178123432012042,0.3572503763171099,0.0451580531861515,27.85
17031050600,Census Tract 506; Cook County; Illinois,114940.0,1540,423,413,92,74,538,0.2746753246753247,0.2681818181818182,0.0597402597402597,0.048051948051948,0.3493506493506493,1191,140,842,199,2,0.1175482787573467,0.7069689336691856,0.1670864819479429,0.0016792611251049,16.7
17031050700,Census Tract 507; Cook County; Illinois,130699.0,962,314,249,12,54,333,0.3264033264033264,0.2588357588357588,0.0124740124740124,0.0561330561330561,0.3461538461538461,691,89,397,195,10,0.1287988422575977,0.5745296671490593,0.2821997105643994,0.0144717800289435,10.483333333333333
17031050800,Census Tract 508; Cook County; Illinois,157813.0,771,268,229,24,6,237,0.3476005188067445,0.2970168612191958,0.0311284046692607,0.0077821011673151,0.3073929961089494,488,52,220,171,45,0.1065573770491803,0.4508196721311475,0.3504098360655737,0.0922131147540983,8.9
17031050900,Census Tract 509; Cook County; Illinois,136053.0,887,462,167,0,22,229,0.5208568207440811,0.1882750845546787,0.0,0.0248027057497181,0.258173618940248,662,157,269,194,30,0.2371601208459214,0.4063444108761329,0.2930513595166163,0.0453172205438066,10.966666666666669
17031051000,Census Tract 510; Cook County; Illinois,184464.0,1100,486,182,0,38,380,0.4418181818181818,0.1654545454545454,0.0,0.0345454545454545,0.3454545454545454,695,42,350,270,27,0.0604316546762589,0.5035971223021583,0.3884892086330935,0.0388489208633093,12.0
17031051100,Census Tract 511; Cook County; Illinois,181827.0,1143,554,185,16,14,350,0.4846894138232721,0.1618547681539807,0.0139982502187226,0.0122484689413823,0.3062117235345581,737,32,442,231,15,0.0434192672998643,0.5997286295793759,0.3134328358208955,0.0203527815468114,13.216666666666669
17031051200,Census Tract 512; Cook County; Illinois,174598.0,958,370,280,8,91,197,0.3862212943632568,0.2922755741127348,0.0083507306889352,0.0949895615866388,0.2056367432150313,645,111,347,187,0,0.1720930232558139,0.537984496124031,0.289922480620155,0.0,12.683333333333334
17031051300,Census Tract 513; Cook County; Illinois,199890.0,1573,726,293,10,9,530,0.4615384615384615,0.186268277177368,0.0063572790845518,0.0057215511760966,0.336935791481246,1105,83,586,397,39,0.0751131221719457,0.530316742081448,0.3592760180995475,0.0352941176470588,17.383333333333333
17031051400,Census Tract 514; Cook County; Illinois,150357.0,1581,740,214,7,30,548,0.4680581910183428,0.1353573687539531,0.0044275774826059,0.0189753320683111,0.3466160657811512,1062,164,570,313,15,0.1544256120527307,0.536723163841808,0.2947269303201507,0.0141242937853107,17.216666666666665
