"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Taxicab","Margin of Error!!Total:!!Taxicab","Estimate!!Total:!!Motorcycle","Margin of Error!!Total:!!Motorcycle","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Other means","Margin of Error!!Total:!!Other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home",
"0100000US","United States","157645183","166534","124059213","138960","110653318","98643","13405895","59144","9987277","43278","2030377","19509","777394","10795","406853","6119","203994","3691","5528841","19922","2629321","14403","2117756","14076","569246","6702","148661","3626","63857","2535","357134","6050","196174","3988","705862","7374","3785388","18195","1745198","13594","21267373","54435",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","3649","512","1253","334","1120","319","133","97","114","91","0","12","19","32","0","12","0","12","1156","429","250","204","813","357","93","118","0","12","0","12","33","59","0","12","103","86","227","128","93","126","784","240",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","3108","553","936","266","802","267","134","111","114","99","0","17","20","30","0","17","0","17","1204","481","714","418","465","218","0","17","25","41","0","17","0","17","0","17","42","47","414","337","17","27","495","183",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","3609","595","1477","401","1464","403","13","21","13","21","0","17","0","17","0","17","0","17","1062","365","553","221","479","302","30","50","0","17","0","17","19","29","0","17","103","108","79","54","21","23","848","357",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","3576","478","1202","318","1184","313","18","29","18","29","0","12","0","12","0","12","0","12","1278","356","831","229","377","240","54","88","16","26","0","12","52","51","0","12","57","57","142","86","21","22","824","268",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","2320","323","955","257","812","228","143","149","71","85","0","12","0","12","0","12","72","118","701","203","532","192","169","90","0","12","0","12","0","12","13","23","0","12","77","48","177","116","41","44","356","148",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","2464","371","677","225","660","226","17","26","17","26","0","12","0","12","0","12","0","12","845","263","663","258","182","103","0","12","0","12","0","12","0","12","0","12","94","86","128","172","14","22","706","294",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","4766","921","1879","670","1750","582","129","132","110","129","19","29","0","17","0","17","0","17","1311","310","269","181","896","235","146","97","0","17","0","17","17","27","0","17","152","81","280","244","49","46","1078","291",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","1299","244","414","114","349","111","65","51","46","47","19","21","0","12","0","12","0","12","352","168","21","22","254","164","77","41","0","12","0","12","7","12","0","12","42","47","57","49","4","6","423","146",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","1795","236","521","131","442","113","79","54","79","54","0","12","0","12","0","12","0","12","409","122","78","74","268","110","63","44","0","12","0","12","9","15","16","18","15","17","50","35","0","12","775","236",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","4945","884","1251","459","1213","443","38","60","38","60","0","17","0","17","0","17","0","17","1496","442","688","339","777","338","31","51","0","17","0","17","0","17","40","59","0","17","250","156","130","150","1778","501",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","2364","258","1130","266","1044","261","86","46","48","39","17","18","21","30","0","12","0","12","449","189","116","93","266","156","67","46","0","12","0","12","20","31","11","18","44","33","70","50","7","13","633","169",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","4537","752","2174","539","2092","531","82","70","15","26","67","67","0","17","0","17","0","17","840","285","289","223","494","178","22","37","35","44","0","17","0","17","0","17","63","59","86","72","112","177","1262","334",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","3659","480","2027","409","1633","299","394","218","320","216","54","58","20","33","0","17","0","17","766","296","478","272","225","122","63","82","0","17","0","17","0","17","41","64","58","67","88","67","46","44","633","177",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","1473","207","1019","206","808","184","211","150","211","150","0","12","0","12","0","12","0","12","159","62","66","42","93","55","0","12","0","12","0","12","14","23","0","12","30","41","56","62","24","23","171","67",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","1951","309","795","178","668","167","127","107","127","107","0","12","0","12","0","12","0","12","364","150","39","38","281","136","44","34","0","12","0","12","7","10","0","12","61","58","152","103","14","21","558","165",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","3212","325","1230","200","1107","191","123","98","59","59","47","43","0","12","17","29","0","12","934","243","65","55","593","213","276","117","0","12","0","12","62","96","0","12","93","67","71","63","37","52","785","218",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","1870","349","630","237","482","192","148","146","102","130","4","9","42","58","0","12","0","12","599","150","51","79","412","109","136","110","0","12","0","12","0","12","0","12","28","33","45","53","0","12","568","282",
